"notes","term","priref"
"","begonia family (guide term)","69255"
"","Berberidaceae (guide term)","69256"
"","nettle family (guide term)","69257"
"","broomrape family (guide term)","69258"
"","Burseraceae (guide term)","69259"
"","gentian family (guide term)","69260"
"","gesneria family (guide term)","69261"
"","hemp family (guide term)","69262"
"","Clusiaceae (guide term)","69263"
"","elm family (guide term)","69264"
"","ice plant family (guide term)","69265"
"","verbena family (guide term)","69266"
"","Dipsacaceae (guide term)","69267"
"","caper family (guide term)","69268"
"","spindle tree","69269"
"","loosetrife family (guide term)","69272"
"","bellflower family (guide term)","69273"
"","Loasaceae (guide term)","69274"
"","lotus family (guide term)","69275"
"","mahogany family (guide term)","69276"
"","Martynia family (guide term)","69278"
"","myrtle family (guide term)","69279"
"","Four O'Clock Family (guide term)","69280"
"","Achiote familie (guide term)","69281"
"","box family (guide term)","69282"
"","Mezereum (guide term)","69283"
"","cashew family (guide term)","69284"
"","bedstraw family (guide term)","69285"
"","plumbago family (guide term)","69286"
"","Styracaceae (family)","69287"
"","evening primrose family (guide term)","69288"
"","Theaceae (guide term)","69289"
"","Bignonias (guide term)","69290"
"","valerian family (guide term)","69291"
"","Crassulaceae (guide term)","69292"
"","Milkwort family (guide term)","69293"
"","mistletoe family (guide term)","69294"
"","spurge family (guide term)","69295"
"","milkweed family (guide term)","69296"
"","rockrose family (guide term)","69297"
"","Austin chalk four-o'clock","69300"
"","spring snowflake","69301"
"","snowflake","69303"
"","Belladonna-lily","69305"
"","hippeastrum","69306"
"","petticoat daffodil","69307"
"","rupicola daffodil","69308"
"","spiderlily","69309"
"","sternbergia","69310"
"","tuberose","69311"
"","Narcissus pseudonarcissus cv. Van Sion","69312"
"","Narcissus x medioluteus","69313"
"","sea daffodil (guide term)","69314"
"","graceful daffodil","69315"
"","sloth","69316"
"","Eurasian coot","69318"
"","Anhinga","69320"
"","pied avocet","69326"
"","peppers (guide term)","69327"
"","pipefish","69330"
"","Boat-billed heron","69332"
"","reed canarygrass","69334"
"","cockroaches (guide term)","69336"
"","cockroach","69337"
"","lori (strepsirrhine primate)","69338"
"","wood stork","69340"
"","thrift","69346"
"","thrift (Armeria maritima)","69348"
"","scarce bamboo page","69354"
"","southern white admiral","69355"
"","menelaus blue morpho","69356"
"","blue morpho","69357"
"","deidamia morpho","69358"
"","painted lady","69359"
"","comma","69360"
"","Melantho tigerwing","69361"
"","teucer owl butterfly","69362"
"","rock grayling","69363"
"","heliconius","69364"
"","silver-washed fritillary","69365"
"","Queen of Spain Fritillary","69366"
"","ringlet","69367"
"","julia","69368"
"","Queen of Spain Fritillary","69369"
"","mail carrier","69371"
"","Idomeneus Giant Owl","69372"
"","Mourning Cloak (butterfly)","69374"
"","Gulf Fritillary","69375"
"","white peacock","69376"
"","Eueides ricini","69377"
"","satyrids (guide term)","69378"
"","Olearia aegle","69379"
"","tortrix moths (guide term)","69382"
"","Brassolidae","69383"
"","cocoon","69384"
"","skipper butterfly (guide term)","69385"
"","tussock moths","69386"
"","fungus moths (guide term)","69387"
"","hooktip moths (guide term)","69388"
"","flannel moths (guide term)","69389"
"","grass moths (guide term)","69390"
"","cossid millers (guide term)","69391"
"","wasp moths","69392"
"","fungus moths (guide term)","69393"
"","casebearing moths (guide term)","69394"
"","Pyraustidae (guide term)","69395"
"","metalmark butterflies (guide term)","69396"
"","saturniids (guide term)","69397"
"","Neophilus cattleheart","69398"
"","Knights (guide term)","69399"
"","slug caterpillar moths (guide term)","69400"
"","snout moths (guide term)","69401"
"","geometer moths (guide term)","69402"
"","snout moths (guide term)","69403"
"","ermine moths (guide term)","69404"
"","ermine moths (guide term)","69405"
"","Notodontidae (guide term)","69406"
"","swallowtail moths (guide term)","69407"
"","plume moths (guide term)","69408"
"","sun moths (guide term)","69409"
"","pale clouded yellow butterfly","69413"
"","green-veined white","69414"
"","large cabbage white butterfly","69415"
"","amber phantom","69416"
"","small cabbage white butterfly","69417"
"","red-base Jezebel","69418"
"","clouded yellow","69419"
"","Orange-barred Sulphur","69420"
"","orange tip","69421"
"","cloudless sulphur","69422"
"","black-veined white","69423"
"","Opisthobranchia (snails) (guide term)","69427"
"","Prosobranchia (guide term)","69428"
"","water snail","69429"
"","Ariophantidae (guide term)","69431"
"","Camaenidae","69432"
"","Cuban land snail","69433"
"","slugs (guide term)","69434"
"","copse snail","69436"
"","Burgundy snail","69437"
"","Conidae (guide term)","69440"
"","admiral cone snail","69442"
"","turtle cone","69443"
"","alphabet cone","69444"
"","beech cone","69445"
"","penniform cone","69446"
"","Proxumus cone","69447"
"","tessellate cone","69448"
"","agate cone","69449"
"","banded marble cone","69450"
"","marbled cone","69451"
"","General cone snail","69452"
"","striated cone snail","69453"
"","Omaria cone","69454"
"","glaucous cone","69455"
"","black-and-white cone","69456"
"","captain's cone","69457"
"","cat cone","69458"
"","cone snail","69459"
"","imperial cone","69460"
"","aurisiacus cone","69461"
"","Garter Cone","69462"
"","geography cone","69463"
"","lettered cone snail","69464"
"","Cone snail","69465"
"","Vice Admiral Cone","69466"
"","princely cone","69467"
"","butterfly cone","69468"
"","soldier cone","69469"
"","nussatella cone","69470"
"","fig cone","69471"
"","virgin cone","69472"
"","vexillum cone","69473"
"","feathered cone","69474"
"","fly specked cone","69475"
"","flea cone","69476"
"","conus textile","69477"
"","sand-dusted cone","69478"
"","murex snails (guide term)","69479"
"","horned murex","69481"
"","endive murex","69482"
"","purple dye murex","69483"
"","strawberry drupe","69484"
"","burnt murex","69485"
"","prickly spotted drupe","69486"
"","Persian purpura","69487"
"","axicornis murex","69488"
"","bubble turnip","69489"
"","branched murex","69490"
"","scorpion murex","69491"
"","woodcock murex","69492"
"","murex snail","69493"
"","caltrop murex","69494"
"","Venus comb","69495"
"","mitre snails (guide term)","69496"
"","branded mitre","69498"
"","orange-spotted sand snail","69499"
"","plaited mitre","69500"
"","episcopal mitre","69501"
"","Papal mitre","69502"
"","roughened mitre","69503"
"","Little Fox Mitre","69504"
"","harp snails (guide term)","69506"
"","ventral harp","69508"
"","common harp","69509"
"","lesser harp","69510"
"","agamids (guide term)","69513"
"","Tropiduridae (guide term)","69514"
"","skinks (guide term)","69515"
"","whiptails (guide term)","69516"
"","monitor lizards (guide term)","69517"
"","sand lizard","69520"
"","european green lizard","69522"
"","mantises (guide term)","69529"
"","homoptera (guide term)","69530"
"","winged insects (guide term)","69531"
"","grasshoppers (Caelifera)","69532"
"","pupa (of insect)","69533"
"","scorpion flies (guide term)","69534"
"","grasshoppers and crickets (guide term)","69535"
"","flies (guide term)","69536"
"Members of an order of insects containing sawflies, wasps, bees, and ants.","Hymenoptera (insect order)","69538"
"","stick insects and walking leaves (guide term)","69539"
"","frit flies (guide term)","69541"
"","crane flies (guide term)","69542"
"","short-horned flies (guide term)","69544"
"","hoverfly","69546"
"","gread pied hoverfly","69547"
"","housefly","69550"
"","Helina lucorum","69553"
"","magpie moth caterpillar","69558"
"","magpie moth","69562"
"","V-moth","69564"
"","Linnaeus's joker","69565"
"","ash pug","69566"
"","August thorn","69567"
"","mottled umber","69568"
"","autumn green carpet","69569"
"","common emerald","69570"
"","early moth","69571"
"","blood-vein (moth)","69572"
"","small phoenix","69573"
"","looper caterpillar","69574"
"","sweet sultan","69577"
"","purple starthistle","69578"
"","brown knapweed","69579"
"","sweet-sultan","69580"
"","rough starthistle","69581"
"","safflower","69586"
"","albatrosses (guide term)","69593"
"","divers (guide term)","69594"
"","fowl (guide term)","69595"
"","apodiformes (guide term)","69596"
"","gruiformes (guide term)","69597"
"","grey heron","69600"
"","anas (guide term)","69603"
"","Anser (guide term)","69604"
"","aythya (guide term)","69605"
"","barnacle goose","69606"
"","Bucephala (guide term)","69607"
"","shelduck-shelgoose family","69608"
